City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Tagusao,PH,9.1924,117.8141,83.66,74,57,3.44,broken clouds
277,Dornoch,GB,57.8805,-4.0288,44.01,81,75,6.91,broken clouds
278,Picos,BR,-7.0769,-41.4669,71.51,90,91,2.01,overcast clouds
279,Salinas,US,36.6777,-121.6555,57.2,51,1,13.8,clear sky
280,Esil,KZ,51.9556,66.4042,25.5,92,98,13.96,overcast clouds
281,Thompson,CA,55.7435,-97.8558,46.4,42,75,2.51,broken clouds
282,Bolshaya Glushitsa,RU,50.2406,43.5908,24.01,92,69,3.8,broken clouds
283,Bludenz,AT,47.1497,9.8167,24.01,100,44,4.63,scattered clouds
284,Westport,US,41.1415,-73.3579,46.99,57,1,5.75,clear sky
285,Koslan,RU,63.4564,48.8989,5.81,96,91,5.46,overcast clouds
286,Boras,SE,57.721,12.9401,37.4,87,0,8.05,clear sky
287,Bambari,CF,5.768,20.6757,74.08,89,100,6.73,overcast clouds
288,Mongo,TD,12.1844,18.693,80.71,16,85,4.47,overcast clouds
289,Gwadar,PK,25.1216,62.3254,74.77,74,0,4.09,clear sky
290,Tessalit,ML,20.1986,1.0114,71.89,16,0,6.44,clear sky
291,Ahipara,NZ,-35.1667,173.1667,68.79,54,72,7.94,broken clouds
292,Patur,IN,20.45,76.9333,79.09,39,99,5.28,overcast clouds
293,Pitimbu,BR,-7.4706,-34.8086,77.0,88,40,5.75,scattered clouds
294,Neryungri,RU,56.6709,124.6491,12.38,88,32,5.7,scattered clouds
295,Douentza,ML,14.9951,-2.9517,82.92,17,98,1.36,overcast clouds
296,Gorontalo,ID,0.5412,123.0595,88.25,62,83,1.57,broken clouds
297,Tromso,NO,69.6496,18.957,28.4,86,90,18.41,light snow
298,Roswell,US,34.0232,-84.3616,53.6,26,1,4.61,clear sky
299,Prince Rupert,CA,54.3161,-130.3201,37.4,93,90,12.66,light snow
300,Kuching,MY,1.55,110.3333,77.0,94,40,3.44,moderate rain
301,Vokhma,RU,58.9303,46.7586,3.94,96,55,5.48,broken clouds
302,Igarka,RU,67.4667,86.5833,-11.9,67,100,14.38,overcast clouds
303,Sambava,MG,-14.2667,50.1667,75.27,88,97,7.31,overcast clouds
304,Richards Bay,ZA,-28.783,32.0377,72.3,93,84,4.94,broken clouds
305,Broken Hill,AU,-31.95,141.4333,69.8,60,100,11.5,overcast clouds
306,North Platte,US,41.1239,-100.7654,66.2,34,1,19.57,clear sky
307,Muravlenko,RU,63.7898,74.523,2.66,95,100,17.38,light snow
308,San Luis,AR,-33.295,-66.3356,59.09,49,0,8.7,clear sky
309,Kavaratti,IN,10.5669,72.642,82.89,67,0,10.2,clear sky
310,Severomuysk,RU,56.1481,113.4267,7.05,92,97,5.61,light snow
311,Mogadishu,SO,2.0371,45.3438,79.99,81,65,12.68,broken clouds
312,Muhos,FI,64.808,25.9931,35.6,69,0,11.5,clear sky
313,Namibe,AO,-15.1961,12.1522,72.73,77,14,3.58,few clouds
314,Comodoro Rivadavia,AR,-45.8667,-67.5,53.6,82,0,2.3,clear sky
315,Uige,AO,-7.6087,15.0613,68.07,98,100,0.83,moderate rain
316,Krasnozerskoye,RU,53.9828,79.2374,34.05,88,100,20.69,overcast clouds
317,Kaeo,NZ,-35.1,173.7833,73.99,47,99,8.99,overcast clouds
318,Joensuu,FI,62.6012,29.7632,32.0,93,90,8.05,light snow
319,Sokolovskoye,RU,45.2583,40.6797,33.53,94,36,7.9,scattered clouds
320,Fortuna,US,40.5982,-124.1573,54.0,62,1,11.5,clear sky
321,Sterling,US,39.0062,-77.4286,48.0,45,20,5.75,few clouds
322,Port Blair,IN,11.6667,92.75,78.71,72,100,4.14,overcast clouds
323,Mathathane,BW,-22.2687,28.7495,72.59,67,0,7.05,clear sky
324,Airai,TL,-8.9266,125.4092,72.39,62,100,3.65,overcast clouds
325,Zella-Mehlis,DE,50.65,10.65,35.01,60,95,4.81,overcast clouds
326,Blythe,US,33.6103,-114.5964,82.4,20,1,24.16,clear sky
327,Tura,IN,25.5198,90.2201,72.37,37,0,4.25,clear sky
328,Bathsheba,BB,13.2167,-59.5167,78.8,57,40,14.97,scattered clouds
329,Arlit,NE,18.7369,7.3853,79.77,8,1,8.37,clear sky
330,Puerto El Triunfo,SV,13.2833,-88.55,82.4,65,0,3.44,clear sky
331,Latung,PH,5.5,120.8833,83.79,73,100,6.33,overcast clouds
332,Havoysund,NO,70.9963,24.6622,30.2,74,40,3.44,light snow
333,College,US,64.8569,-147.8028,21.2,35,1,10.36,clear sky
334,Carthage,TN,36.8611,10.3316,53.6,94,40,10.36,scattered clouds
335,Chegem Vtoroy,RU,43.5958,43.5994,37.4,93,75,2.24,mist
336,Hisua,IN,24.8333,85.4167,68.0,77,40,5.23,mist
337,Tambopata,PE,-12.7333,-69.1833,72.09,97,86,1.9,overcast clouds
338,Severnyy,RU,50.677,36.5532,28.4,93,40,11.18,scattered clouds
339,Kaduqli,SD,11.0167,29.7167,79.68,21,93,5.82,overcast clouds
340,Camacha,PT,33.0833,-16.3333,60.8,55,75,8.05,broken clouds
341,Staryy Nadym,RU,65.6118,72.6842,-2.97,96,100,14.45,light snow
342,Anadyr,RU,64.75,177.4833,-4.0,65,0,8.95,clear sky
343,Ocote Paulino,HN,15.4167,-87.6,77.0,78,75,8.05,broken clouds
344,Leningradskiy,RU,69.3833,178.4167,-8.9,87,100,2.62,overcast clouds
